ablation,seed,success,containment_rate,cascade_rate,state_corruption,subgoal_corruption,damage_rate,false_halt,missed_failure,recovery_success,escalation_precision,containment_latency,ece,regret,utility,groups
no_recovery_budget_memory,5,0.747396,0.598958,0.097222,0.013021,0.015625,0.001736,0.009549,0.19184,0.429688,0.658854,0.584632,0.005408,0.076837,0.606988,192
no_recovery_budget_memory,6,0.759549,0.606771,0.086806,0.009549,0.006944,0.0,0.002604,0.161458,0.434896,0.690972,0.586636,0.005398,0.077430,0.652575,192
no_recovery_budget_memory,7,0.760417,0.633681,0.116319,0.008681,0.014757,0.001736,0.007812,0.177951,0.462674,0.663194,0.58572,0.005454,0.076412,0.624045,192
no_recovery_budget_memory,8,0.75434,0.636285,0.110243,0.005208,0.007812,0.005208,0.006076,0.194444,0.452257,0.649306,0.58566,0.005388,0.077032,0.615312,192
no_recovery_budget_memory,9,0.722222,0.578125,0.090278,0.011285,0.013889,0.000868,0.007812,0.206597,0.398438,0.663194,0.586014,0.005436,0.076602,0.578355,192
no_risk_calibration,0,0.791667,0.592882,0.072917,0.010417,0.013021,0.003472,0.03125,0.173611,0.518229,0.644097,0.570422,0.096713,0.053567,0.665571,192
no_risk_calibration,1,0.805556,0.609375,0.067708,0.009549,0.012153,0.001736,0.033854,0.179688,0.493924,0.635417,0.571113,0.09667,0.053706,0.681012,192
no_risk_calibration,2,0.78559,0.598958,0.070312,0.012153,0.012153,0.001736,0.041667,0.184028,0.512153,0.679688,0.571867,0.096408,0.053681,0.654549,192
no_risk_calibration,3,0.769965,0.622396,0.061632,0.013021,0.007812,0.000868,0.019965,0.18316,0.498264,0.649306,0.571128,0.096485,0.053069,0.657003,192
no_risk_calibration,4,0.782118,0.573785,0.059896,0.009549,0.009549,0.001736,0.039931,0.171007,0.480035,0.677083,0.57181,0.096793,0.053369,0.661869,192
no_risk_calibration,5,0.780382,0.603299,0.064236,0.013021,0.011285,0.0,0.030382,0.179687,0.518229,0.654514,0.57159,0.096691,0.053075,0.661663,192
no_risk_calibration,6,0.77691,0.59809,0.0625,0.011285,0.011285,0.0,0.02691,0.213542,0.507812,0.662326,0.57128,0.096602,0.053572,0.645262,192
no_risk_calibration,7,0.788194,0.59375,0.052951,0.006944,0.013889,0.001736,0.036458,0.18316,0.524306,0.668403,0.571356,0.096451,0.052999,0.67252,192
no_risk_calibration,8,0.792535,0.613715,0.074653,0.008681,0.006944,0.00434,0.032986,0.15625,0.509549,0.673611,0.572229,0.096489,0.053977,0.677991,192
no_risk_calibration,9,0.782118,0.609375,0.049479,0.010417,0.009549,0.001736,0.032986,0.190104,0.503472,0.664062,0.571156,0.0967,0.053979,0.667059,192
v4_containment_graph_rules,0,0.727431,0.564236,0.095486,0.019965,0.026042,0.005208,0.026042,0.217882,0.446181,0.614583,0.610912,0.025028,0.093423,0.545076,192
v4_containment_graph_rules,1,0.736979,0.592882,0.095486,0.032986,0.023438,0.002604,0.022569,0.211806,0.493056,0.618924,0.610881,0.024898,0.093754,0.562335,192
v4_containment_graph_rules,2,0.763889,0.540799,0.095486,0.016493,0.032986,0.006076,0.022569,0.198785,0.467014,0.611111,0.610647,0.024883,0.094015,0.588516,192
v4_containment_graph_rules,3,0.741319,0.544271,0.076389,0.020833,0.02691,0.006944,0.03559,0.213542,0.478299,0.624132,0.611351,0.025126,0.093584,0.566393,192
v4_containment_graph_rules,4,0.726562,0.572917,0.097222,0.026042,0.028646,0.002604,0.038194,0.217882,0.427083,0.640625,0.611149,0.024994,0.093491,0.536677,192
v4_containment_graph_rules,5,0.763889,0.56684,0.090278,0.021701,0.03125,0.003472,0.030382,0.21441,0.470486,0.644965,0.610768,0.025002,0.093340,0.586214,192
v4_containment_graph_rules,6,0.743924,0.581597,0.091146,0.027778,0.019097,0.006944,0.03125,0.19184,0.474826,0.627604,0.611333,0.024938,0.093417,0.575424,192
v4_containment_graph_rules,7,0.75434,0.546007,0.09375,0.020833,0.026042,0.005208,0.026042,0.211806,0.467014,0.616319,0.610455,0.024951,0.093181,0.575076,192
v4_containment_graph_rules,8,0.749132,0.556424,0.08941,0.020833,0.024306,0.006944,0.030382,0.212674,0.46875,0.637153,0.610804,0.025038,0.092986,0.571259,192
v4_containment_graph_rules,9,0.756076,0.571181,0.108507,0.014757,0.024306,0.003472,0.030382,0.216146,0.479167,0.625,0.609799,0.024823,0.094145,0.57362,192
